thumbnail_url;logo_url;channel_url;title;category;description
https://r.dcs.redcdn.pl/scale/play/playtv/images/epg_play_sndf49nbfkU_r320B7F65DlnbfsEFcaB2h4o6bJ79X/m/e/diaakpa3463116.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/24/images/874819430?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18375205;Grzechy i grzeszki;Serial obyczajowy;Dwaj księża (Max von Thun, Friedrich von Thun) konfrontują się w konfesjonałach z nietypowymi osobami. Spowiednicy muszą wykazać się niezwykłą cierpliwością. Grzesznicy żyją bowiem w przekonaniu, że w głębi serca są bez skazy. W każdym odcinku zostanie przedstawiona historia innej spowiedzi.
https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/24/images/874819430?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/24/images/874819430?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/20574247;Diagnoza Betty;Serial obyczajowy;Betty wiedzie spokojne życie u boku swojego wieloletniego partnera, muzyka rockowego Tamasa. Do pełni szczęścia kobiecie brakuje tylko dzieci. Także praca pielęgniarki przynosi Betty wiele satysfakcji, choć do szpitala niekiedy trafiają niesforni pacjenci, którzy przysparzają problemów całemu personelowi.
https://r.dcs.redcdn.pl/scale/play/playtv/images/epg_play_sndf49nbfkU_r320B7F65DlnbfsEFcaB2h4o6bJ79X/m/e/diaakpa4305630.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/38019/images/908106501?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18373908;Z pamiętnika położnej 3;Serial obyczajowy;Podstawą do stworzenia scenariusza do serialu stały się wspomnienia Jennifer Worth. W trzecim sezonie młoda pielęgniarka, Jenny (Jessica Raine), pracująca w londyńskim szpitalu-klasztorze znów będzie niosła pomoc najbiedniejszym i najbardziej potrzebującym kobietom.
https://r.dcs.redcdn.pl/scale/play/playtv/images/epg_play_sndf49nbfkU_r320B7F65DlnbfsEFcaB2h4o6bJ79X/m/e/diaakpa3846781.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/3294207/images/926573289?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18352022;Family Guy: Głowa rodziny 19;Serial animowany dla dorosłych;Zabawne perypetie Petera Griffina i jego osobliwej rodziny. Bohaterowie codziennie muszą stawiać czoło nietypowym sytuacjom.
https://r.dcs.redcdn.pl/scale/play/playtv/images/epg_play_sndf49nbfkU_r320B7F65DlnbfsEFcaB2h4o6bJ79X/m/e/diaakpa3685273.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/3294207/images/926573289?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18351986;Simpsonowie 34;Serial animowany dla dorosłych;Dalsze perypetie typowej amerykańskiej rodziny mieszkającej na przedmieściach Springfield. Satyryczna animacja, która weszła do kanonu popkultury, jest jednym z najdłużej emitowanych seriali w historii. Widzowie mogą śledzić losy Simpsonów od 1989 roku. Homer pracuje w elektrowni jądrowej. Lubi przesiadywać na kanapie przed telewizorem i w knajpie z kolegami. Marge to przykładna pani domu. Bierze udział w akcjach społecznych i rzadko pozwala sobie na odstępstwa od perfekcyjnego wizerunku. Bart nie lubi szkoły, zdarza mu się nawet popaść w konflikt z prawem. Jego siostra Lisa ma zadatki na geniusza.
https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/22/images/908106479?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/22/images/908106479?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18356420;Miasteczko South Park 13;Serial animowany dla dorosłych;Kolejna seria jednej z najbardziej skandalizujących kreskówek w historii animacji. Bohaterowie używają całej gamy wymyślnych przekleństw, otwarcie rozmawiają na tematy tabu, poruszają problemy seksualności bez najmniejszego skrępowania i popularyzują tzw. humor etniczny, za który w Stanach Zjednoczonych można stracić pracę. Głównymi postaciami są koledzy z jednej klasy: Eric Cartman, rozpieszczony, tłusty i złośliwy dzieciak, uosobienie egoisty, rasisty i antysemity, Kenny McCormick chłopiec z z biednej, patologicznej rodziny, obiekt kpin Cartmana, w większości odcinków w nietypowy sposób zabijany, wywodzący się z rodziny ortodoksyjnych Żydów Kyle Broflovski oraz najmądrzejszy i najspokojniejszy z całej czwórki Stan Marsh, beznadziejnie zakochany w szkolnej koleżance, Wendy.
https://r.dcs.redcdn.pl/scale/play/playtv/images/epg_play_sndf49nbfkU_r320B7F65DlnbfsEFcaB2h4o6bJ79X/m/e/diaakpa3231048.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/18/images/913218416?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18374430;Grzmotomocni 3;Serial dla młodzieży;Ciąg dalszy burzliwych perypetii obdarzonego nadprzyrodzonymi zdolnościami rodzeństwa i ich rodziców, Hanka (Chris Tallman) i Barb (Rosa Blasi) Grzmotomocnych. Nastoletnia Phoebe (Kira Kosarin) stara się nie nadużywać swoich supermocy. Jej zupełnym przeciwieństwem jest Max (Jack Griffo). Z kolei pełen energii Billy (Diego Velazquez) pragnie zostać bohaterem. Najmłodszym członkiem rodziny jest rezolutna Nora (Addison Riecke).
https://r.dcs.redcdn.pl/scale/play/playtv/images/epg_play_sndf49nbfkU_r320B7F65DlnbfsEFcaB2h4o6bJ79X/m/e/diaakpa5905427.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/23917217/images/1023144069?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/29433916;Kochaj mnie 2;Serial obyczajowy;Ciąg dalszy miłosnych perypetii członków tej samej rodziny, będących na różnych etapach życia. Aaron (William Lodder) niebawem ma zostać ojcem. Glen (Hugo Weaving) odkrywa uroki małżeńskiego życia ze świeżo poślubioną Anitą (Heather Mitchell). Zainspirowani ich doświadczeniami Clara (Bojana Novakovic) i Peter (Bob Morley) postanawiają rozpocząć własną podróż ku rodzicielstwu.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/56d5bf88-9102-4c13-973c-cc8617132895/AEL0171259_POST_SN_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/5511368/images/1025055463?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/36614144;Najsłynniejszy dom publiczny - Mroczne sekrety;Dokument;Autorzy prezentują kulisy działalności Bunny Ranch, jednego z najsłynniejszych legalnych domów publicznych w USA. Zarządzający nim biznesmen i polityk, Dennis Hof, przez całe lata kreował to miejsce na oazę bezpieczeństwa. Tymczasem za zamkniętymi drzwiami domu uciech jego pracownice przeżywały liczne dramaty. Doświadczały aktów psychicznej i fizycznej przemocy, a także zmuszone były zaciągać długi, które wiązały je z tym miejscem na całe lata. Surowe reguły, które obowiązywały wszystkich pracowników, nie dotyczyły Hofa. Widzowie zobaczą m.in. nigdy wcześniej niepublikowane wywiady, prywatne zdjęcia i inne materiały zza kulis amerykańskiego seksbiznesu.
https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/32/images/883409542?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/32/images/883409542?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/18384380;Szlaban na przygodę;Serial familijny;Czworo uczniów odbywa karę w jednaj z sali lekcyjnych. Wśród nich jest szkolny tyran, Brett Austin (Tomaso Sanelli), oraz trójka młodszych dzieci - Norman 'Hulk' Bean (Jack Fulton), Joy Jayadi (Ali Prijono) i Raign Westbrook (Simone Miller). Przez przypadek znajdują wejście do tajemniczych tuneli. Zbadanie ich przerywa im powrót dyrektora Lounsberry'ego (Andrew Moodie). Od tej pory każdego dnia w szkole grupa płata jakieś figle w nadziei na zatrzymanie po lekcjach, by mogła zbadać swoje odkrycie. Dochodzą do wniosku, że tunele mogą prowadzić do sekretnego laboratorium Alexandra Grahama Bella. Jednak trasa do niego pełna jest zaskakujących pułapek.
